"Id","SalePrice"
1461,117063.740789074
1462,156368.031152256
1463,170136.735336804
1464,183415.318873647
1465,193899.40284227
1466,177669.524023672
1467,175696.848079802
1468,176916.12151564
1469,183561.083346716
1470,122115.235022995
1471,204323.735087284
1472,91616.3402754673
1473,91011.3399576206
1474,169587.60780221
1475,126731.91123654
1476,349999.115012516
1477,241305.563905171
1478,332658.787365905
1479,318679.58432449
1480,495301.677880872
1481,332437.009289103
1482,205675.857642104
1483,186019.771397285
1484,175783.975037842
1485,172482.578927666
1486,205265.109558194
1487,348823.119048772
1488,242453.655741286
1489,187371.941031431
1490,237441.412685003
1491,193126.555278408
1492,102315.992482484
1493,183236.615355337
1494,310960.386354312
1495,338828.352984431
1496,263852.841139541
1497,203797.172368566
1498,156308.711327064
1499,173186.918408577
1500,170599.346935572
1501,178597.845016516
1502,156202.152537213
1503,273802.187779602
1504,223692.232533994
1505,225047.801001788
1506,153380.389584307
1507,272157.438690678
1508,194230.294404719
1509,163074.149946222
1510,152194.690332761
1511,153280.118735826
1512,169725.232621763
1513,159359.527419534
1514,181286.124052575
1515,174833.920271808
1516,160959.015851618
1517,139469.863236722
1518,148937.27749698
1519,228395.75055811
1520,134421.801638178
1521,126718.860778238
1522,158527.575423645
1523,122850.658659952
1524,121471.517563794
1525,124093.31536169
1526,134155.615094281
1527,128567.320957193
1528,137619.600526135
1529,147845.500487246
1530,153581.166339068
1531,121810.230670868
1532,120283.774384796
1533,160175.454343097
1534,125400.131647271
1535,139734.422297927
1536,123597.077381474
1537,106011.242057321
1538,187763.308391307
1539,211790.658385016
1540,126149.809349015
1541,121316.003395297
1542,146816.653566624
1543,203247.989960621
1544,101226.351711319
1545,130613.037583383
1546,141647.808528511
1547,133824.484713506
1548,129007.748260536
1549,123275.13030403
1550,136372.739529379
1551,139591.300732301
1552,130466.609284727
1553,144529.772366613
1554,134591.064104421
1555,165755.149382589
1556,113953.078878596
1557,124385.038652304
1558,95565.1062457935
1559,102791.693716302
1560,118617.246657791
1561,180915.283527355
1562,146111.774799806
1563,128689.179337804
1564,155707.385896723
1565,150232.8668745
1566,196722.22018847
1567,97070.933386679
1568,229642.676226845
1569,147023.400288703
1570,147152.155109346
1571,141260.363456639
1572,141071.509514073
1573,200241.659334467
1574,153720.483789081
1575,208744.731448457
1576,249901.684576947
1577,189095.874005231
1578,150264.344618498
1579,141276.995493698
1580,183544.042398124
1581,150774.867729087
1582,134887.449736914
1583,297635.862815473
1584,245796.302410556
1585,140333.65976917
1586,105731.106204256
1587,104437.723413491
1588,142543.416357955
1589,106921.80263772
1590,151737.787620315
1591,106191.659218759
1592,128672.841356171
1593,128826.260933577
1594,126800.949353489
1595,126575.840217722
1596,231466.731602587
1597,177952.379553655
1598,211138.403306484
1599,183700.273835578
1600,188952.258668856
1601,75967.5181627142
1602,122780.179893649
1603,112577.969222345
1604,277383.201818787
1605,245998.196405814
1606,166045.934049427
1607,165503.071801685
1608,206154.118371162
1609,188416.688991964
1610,170333.535041768
1611,157030.283540321
1612,163491.696370311
1613,155130.706145357
1614,134969.72690559
1615,97186.0197781522
1616,97186.0197781522
1617,115584.944189801
1618,135489.862436246
1619,148431.750897281
1620,233277.484175074
1621,144165.781734664
1622,131303.38356497
1623,258239.68060435
1624,237515.99205709
1625,121154.212127535
1626,158288.97832835
1627,177211.831854444
1628,257834.840579857
1629,180647.358136556
1630,338625.695528096
1631,183619.760791463
1632,253276.967098922
1633,169419.427695932
1634,220627.57535796
1635,184064.717407827
1636,159904.685258046
1637,186561.961789671
1638,203165.276848058
1639,142076.186685166
1640,238149.334125991
1641,193335.311286458
1642,267583.088507587
1643,230578.223999169
1644,225935.161199674
1645,190048.323936516
1646,157601.924161588
1647,143962.261136079
1648,146296.38670846
1649,138901.377664477
1650,123952.929556925
1651,129271.364301039
1652,123857.099694524
1653,123513.800969232
1654,169621.3583447
1655,149983.275656755
1656,167627.661466772
1657,166454.314438728
1658,164494.358076286
1659,123715.536873208
1660,128203.864938299
1661,451355.586200037
1662,382977.564068381
